g_1_SzQDZAeD;Argentino de Merlo;Real Pilar
g_1_ht8mPU94;Angelholms;Prespa Birlik
g_1_0xMmtA4H;Haninge;Motala
g_1_ABBNZ7so;Huddinge;Enskede
g_1_A3HbbiKo;Tyreso;Sodertalje FK
g_1_82PevlZT;Arameisk-Syrianska;Aspudden Tellus
g_1_EuQiuUJN;Assyriska IF;AFK Linkopings
g_1_ANwmPBci;Savedalens;Grebbestads
g_1_ImseNkS3;Amal;Gauthiod
g_1_8Ia40SKj;Tidaholm IFK;Torslanda
g_1_dvtaM9sA;Nordvarmland;Vanersborgs IF
g_1_OQsiOVCc;Vanersborgs FK;Orebro Syr.
g_1_00vhBD9k;Husqvarna;Nassjo
g_1_lMKnXfW8;IFK Berga;Dalstorps
g_1_lQzlCgfq;Nosaby IF;Almeboda/Linneryd
g_1_WpAiWEoF;Rappe GOIF;Osterlen FF
g_1_rPTdAXOe;Raslatts;Asarums
g_1_6Tw3UVJI;Orebro W;Vaxjo DFF W
g_1_xlnnYDKg;Vittsjo W;Eskilstuna United W
g_1_C6vaVB4C;Goteborg W;Djurgarden W
g_1_b3zeWik6;Linkopings W;Kungsbacka W
g_1_pKx7TkZO;Bunkeflo W;Rosengard W
g_1_Gro558bt;Kvarnsvedens W;Lidkopings FK W
g_1_vNgwAljP;Mallbackens W;IF Brommapojkarna W
g_1_xIFfo5DO;Moron W;Uppsala W
g_1_A5p94SDn;Kalmar W;AIK W
g_1_ldqD3nTh;Asarums W;Umea W
g_1_SOR61NiP;Thun;Lugano
g_1_888Ov0pC;Xamax;Zurich
g_1_dYKFBGYF;Kriens;Wil
g_1_rVGBCdJ9;Schaffhausen;Aarau
g_1_WAV6WBRu;Vaduz;Winterthur
g_1_06R6Dx43;Chiasso;Rapperswil
g_1_KMMRJalh;Wohlen;Bellinzona
g_1_8rcD0xlU;Cham;Basel II
g_1_b7YILLJu;Koniz;Munsingen
g_1_YPQVIJ3b;La Chaux-De-Fonds;Yverdon
g_1_OEJrGHmH;Sion II;Zurich II
g_1_6wPwHcYA;YF Juventus;Bavois
g_1_SnQZHwJ4;Bruhl;Breitenrain
g_1_xbXMKuZo;Lausanne Ouchy;Stade Nyonnais
g_1_8WzZLhZj;Azzurri Lausanne;Bulle
g_1_ddXUMYJp;Echallens;Thun II
g_1_KU4NSO73;Etoile-Carouge;Young Boys II
g_1_C41FUpwi;Fribourg;Lausanne II
g_1_bL3RRrN9;Meyrin;Chenois
g_1_jROT0qwT;Grasshopper II;Black Stars
g_1_0xWG3ogA;Old Boys;Solothurn
g_1_82ZO1PNM;Buochs;Luzern II
g_1_QJFed3op;Zofingen;Schotz
g_1_KtFaeN0j;Biel;Bassecourt
g_1_vwKk1M7h;Mendrisio;United Zurich
g_1_Sbj2FXq0;Eschen;Red Star Zurich
g_1_0h8ba0x5;Linth;Baden
g_1_EeC2bKiB;Tuggen;St. Gallen II
g_1_ITIg0tNb;Wettswil-Bonstetten;Kosova
g_1_8IB6cv7H;Winterthur II;Hongg
g_1_n9AAdbMN;Gossau;Thalwil
g_1_8pzs29Pn;Young Boys W;Grasshoppers W
g_1_GAwk0mfa;Zurich W;FF Lugano 1976 W
g_1_Mmvo1Tvg;Basel W;Yverdon W
g_1_QLpx3kAt;Servette Geneve FC W;Luzern W
g_1_8x8G4zII;Buriram;Nakhon Ratchasima
g_1_nT6K3fXO;Chonburi;Trat FC
g_1_lYp3SwAP;Muang Thong Utd;Samut Prakan City
g_1_OQyVNcIt;Chiangrai Utd;PTT Rayong
g_1_lUhzgMT4;Ben Guerdane;Monastir
g_1_Msiri0bH;Bizertin;Stade Gabesien
g_1_KIWIpbyo;Esperance Tunis;JS Kairouan
g_1_SKivhtqB;Gabes;Hammam-Lif
g_1_I9pikvTT;Metlaoui;Club Africain
g_1_8Iywf2Eb;Sfaxien;Etoile Sahel
g_1_zoenjKDN;US Tataouine;Stade Tunisien
g_1_vNaYeuVS;Bousalem;Stade Gabesien
g_1_Mo5TdLFM;Esperance Tunis;Monastir
g_1_Ucy3sLNt;Rizespor;Galatasaray
g_1_CM4xRaw0;Fenerbahce;Akhisarspor
g_1_IJ7pPw8C;Goztepe;Sivasspor
g_1_UuAoiKXJ;Elazigspor;Afjet Afyonspor
g_1_2ZHaTGuD;Eskisehirspor;Adanaspor AS
g_1_SAhr0jdJ;Merw;Balkan
g_1_tEtQOZYJ;Sagadam;Kopetdag Asgabat
g_1_Y5YiJ230;Mariupol;Lviv
g_1_0hzpLOYm;Dyn. Kyiv;FK Zorya Luhansk
g_1_vqZmKrlf;Shakhtar Donetsk;Oleksandriya
g_1_tW7YQu48;Hirnyk-Sport;Metalist 1925
g_1_EPJj2dR7;Rukh Vynnyky;Ahrobiznes Volochysk
g_1_hAVs4Ide;Kolos Kovalyovka;Sumy
g_1_zZKn3xC1;Mykolaiv;Volyn Lutsk
g_1_v7Rw5bsk;Prykarpattya;Dnipro-1
g_1_2odsPJYK;Kramatorsk;Zirka Kropyvnytskyi
g_1_Y3eYCaJU;Cherkashchyna-Ak.;Bukovyna
g_1_OSzrX24n;Veres-Rivne;Minaj
g_1_WhGJzrNC;Hornostayivka;Hirnyk Kryvyi Rih
g_1_OOdAc5UP;Nova Kakhovka;Real Pharma
g_1_2JBFyO76;MFC Metalurh;Nikopol
g_1_KfUjVtZb;Nyva Ternopil;Kyiv-Sviatoshyn
g_1_6iQnWMJh;Podillya Khmelnytskyi;Zhytomyr
g_1_rFYRKFVF;Al Wahda;Ajman
g_1_QwOWJZpM;Al Wasl;Al Sharjah
g_1_4UMzJg0S;Dibba Al Fujairah;Al Ain
g_1_Cl1MIMj6;Progreso;Fenix
g_1_IR1IJ2y0;Defensor Sp.;River Plate
g_1_Ma89LO6m;Juventud;Plaza Colonia
g_1_r995M4is;Liverpool M.;Danubio
g_1_nP8zSQTJ;Racing Montevideo;Cerro Largo
g_1_4OcEKrMg;Rampla Juniors;CA Cerro
g_1_QF7vRpqQ;Wanderers;Boston River
g_1_8EZCCrkl;Vancouver Whitecaps;Portland Timbers
g_1_2yZGB24f;Cincinnati;Montreal Impact
g_1_WMPVbko1;FC Dallas;New York Red Bulls
g_1_tSXKAMJ0;Toronto FC;Philadelphia Union
g_1_lbKzb907;Los Angeles Galaxy;New York City
g_1_0O0LcLKL;Hartford;Memphis
g_1_Cb4PduzS;Austin Bold;Oklahoma City Energy
g_1_Uwiiharq;Phoenix Rising;Rio Grande
g_1_OOlVGjd2;North Texas;Orlando City B
g_1_jX75ioPQ;Cincinnati Dutch Lions;West Virginia
g_1_dEpYn5Xs;North Carolina II;Lionsbridge
g_1_AHlxnPnl;Golden State Force;Glens SC
g_1_4vltoq2f;Ventura;Breakers FC
g_1_rVnpp3H0;Victoria Highlanders;Lane United
g_1_CCZeD2oK;Sky Blue W;Washington Spirit W
g_1_fyP0CM0Q;Utah Royals W;Houston Dash W
g_1_2cWbU4zm;Din. Samarkand;AGMK
g_1_G0z3TOkg;Pakhtakor;Navbahor Namangan
g_1_4vS8TedI;Metropolitanos;Atl. Venezuela
g_1_zwRlhjDD;Nam Dinh;Than Quang Ninh
g_1_dnSpgWc7;Thanh Hoa;Ha Noi FC
g_1_xr5XGZkE;Ho Chi Minh;BHTS Quang Nam
g_1_0jwIk2Hj;Caernarfon;Cardiff Metropolitan
g_1_UZE3Qjbt;Latvia U19 W;Faroe Islands U19 W
g_1_KMItGaVS;Chicken Inn;Highlanders
g_1_QNPXHL0G;Harare City;Bulawayo Chiefs
g_1_xbTyHuGM;Mushowani Stars;Black Rhinos
g_1_MV48BJwp;ZPC Kariba;Ngezi Platinum FC
